Post-nr	Navn	Samtlige husstande	Samtlige - ekskl. Nej tak	Samtlige - ekskl. Nej tak gratisaviser	By	By - ekskl. Nej tak	By - ekskl. Nej tak gratisaviser	Land	Land - ekskl. Nej tak	Land - ekskl. Nej tak gratisaviser	Etager	Etager - ekskl. Nej tak	Etager - ekskl. Nej tak gratisaviser	V/RH	Villa/Række - ekskl. Nej tak	Villa/Række - ekskl. Nej tak gratisaviser	Jordbrug	Jordbrug - ekskl. Nej tak	Jordbrug - ekskl. Nej tak gratisaviser	Kontor	Kontor - ekskl. Nej tak	Kontor - ekskl. Nej tak gratisaviser	Butik	Butik - ekskl. Nej tak	Butik - ekskl. Nej tak gratisaviser	Fri-hus	Fri-hus - ekskl. Nej tak	Fri-hus - ekskl. Nej tak gratisaviser
4300	Holbæk	16657	8824	14313	14822	7675	12628	1835	1149	1685	6563	3507	5104	9741	5107	8885	353	210	324	685	584	637	385	362	371	1486	1385	1430
4305	Orø	480	286	423	46	23	40	434	263	383	6	5	6	439	262	385	35	19	32	21	13	16	2	2	2	723	642	678
4320	Lejre	2237	982	2014	1698	712	1509	539	270	505	75	3	6	2028	909	1885	134	70	123	97	63	85	19	16	18	1	1	1
4340	Tølløse	2909	1604	2643	2078	1128	1889	831	476	754	226	123	166	2483	1374	2286	200	107	191	110	78	97	31	29	29	6	6	6
4350	Ugerløse	711	459	658	418	258	378	293	201	280	1	0	0	571	366	521	139	93	137	15	12	14	4	2	3	2	0	2
4390	Vipperød	1407	785	1278	1039	546	942	368	239	336	90	83	87	1236	650	1115	81	52	76	25	20	21	6	5	5	13	11	12
4400	Kalundborg	11554	5866	10206	9665	4945	8501	1889	921	1705	3012	1696	2417	8010	3888	7290	532	282	499	421	339	383	210	196	203	1850	1600	1706
4420	Regstrup	1487	924	1352	881	547	803	606	377	549	42	31	36	1257	776	1136	188	117	180	44	38	41	10	8	8	49	42	45
4440	Mørkøv	2084	1314	1844	1359	852	1200	725	462	644	122	63	78	1711	1099	1543	251	152	223	53	39	42	19	18	18	2	2	2
4450	Jyderup	3035	1763	2687	2098	1247	1857	937	516	830	397	215	281	2383	1408	2168	255	140	238	121	95	111	57	53	56	11	5	7
4460	Snertinge	641	378	550	430	254	362	211	124	188	14	12	13	552	325	471	75	41	66	15	11	14	8	8	8	2	1	1
4470	Svebølle	1532	863	1380	910	533	819	622	330	561	31	26	27	1398	787	1258	103	50	95	40	32	34	18	13	17	11	7	9
4480	Store Fuglede	496	275	449	122	65	108	374	210	341	0	0	0	425	240	383	71	35	66	8	5	8	3	2	3	1256	1141	1210
4490	Jerslev Sjælland	1239	673	1082	905	491	782	334	182	300	84	25	36	1050	592	950	105	56	96	39	28	35	5	3	4	2	1	2
4500	Nykøbing Sj	5052	3271	4604	3297	2104	2986	1755	1167	1618	740	439	606	4099	2704	3801	213	128	197	159	141	151	117	111	114	6753	6217	6490
4520	Svinninge	2146	1378	1882	1719	1110	1495	427	268	387	232	147	163	1764	1141	1576	150	90	143	58	44	54	23	21	22	0	0	0
4532	Gislinge	863	520	764	571	342	499	292	178	265	5	5	5	768	463	678	90	52	81	17	12	16	7	6	6	1	1	1
4534	Hørve	1636	1151	1501	1050	742	943	586	409	558	136	84	101	1314	942	1216	186	125	184	47	39	44	15	13	13	127	122	123
4540	Fårevejle	1735	1237	1643	1130	808	1073	605	429	570	53	41	46	1547	1111	1472	135	85	125	56	45	50	25	23	25	2221	2014	2125
4550	Asnæs	2046	1290	1913	1535	981	1440	511	309	473	215	149	196	1719	1080	1610	112	61	107	77	70	73	60	55	59	857	782	813
4560	Vig	1712	1181	1570	782	522	704	930	659	866	50	40	48	1467	1006	1333	195	135	189	49	46	48	37	33	36	2131	1955	2034
4571	Grevinge	1188	830	1088	304	193	258	884	637	830	6	6	6	1029	717	936	153	107	146	21	19	21	12	11	11	724	686	706
4572	Nørre Asmindrup	505	358	477	275	189	255	230	169	222	15	12	14	412	292	385	78	54	78	11	8	10	4	2	3	4	3	4
4573	Højby	1343	899	1189	818	512	702	525	387	487	29	22	24	1212	802	1065	102	75	100	36	26	33	13	11	12	2969	2776	2872
4581	Rørvig	748	483	677	594	379	539	154	104	138	18	8	10	714	468	654	16	7	13	25	20	21	12	9	10	2158	1958	2059
4583	Sjællands Odde	701	472	634	302	199	271	399	273	363	20	19	20	631	425	568	50	28	46	21	17	20	11	7	10	2456	2266	2352
4591	Føllenslev	809	479	747	418	242	394	391	237	353	0	0	0	753	443	698	56	36	49	20	16	18	10	9	10	668	613	636
4592	Sejerø	240	202	220	128	105	115	112	97	105	0	0	0	206	171	186	34	31	34	14	11	12	5	4	4	414	384	396
4593	Eskebjerg	619	360	565	0	0	0	619	360	565	34	19	28	471	292	434	114	49	103	11	9	9	5	4	4	1120	1035	1081
4600	Køge	17668	9436	15751	16666	8906	14822	1002	530	929	6714	3735	5627	10837	5638	10010	117	63	114	806	658	732	432	395	415	413	392	402
4621	Gadstrup	1325	688	1225	998	513	927	327	175	298	0	0	0	1211	621	1117	114	67	108	74	59	65	11	9	11	13	12	13
4622	Havdrup	2052	1078	1758	1735	915	1484	317	163	274	15	13	13	1964	1025	1678	73	40	67	91	73	86	28	24	27	0	0	0
4623	Lille Skensved	2301	1178	2046	1905	967	1682	396	211	364	38	21	32	2151	1100	1910	112	57	104	67	55	62	14	12	13	1	1	1
4632	Bjæverskov	2117	1149	1934	1778	949	1619	339	200	315	9	5	7	1972	1071	1803	136	73	124	63	51	56	21	19	20	5	5	5
